,subject,timepoint,event,region,signal,unique_subject_id,recording_id
305,s11,2,stim,frontal,-0.0551536585187,s11_stim,s11_stim
306,s12,2,stim,frontal,0.0750666129231,s12_stim,s12_stim
307,s13,2,stim,frontal,-0.0242307031151,s13_stim,s13_stim
308,s0,3,stim,frontal,0.026726699906,s0_stim,s0_stim
309,s1,3,stim,frontal,0.0575983739279,s1_stim,s1_stim
310,s2,3,stim,frontal,0.0574609669929,s2_stim,s2_stim
311,s3,3,stim,frontal,-0.0752133559724999,s3_stim,s3_stim
312,s4,3,stim,frontal,0.120453727716,s4_stim,s4_stim
313,s5,3,stim,frontal,0.0866294054154999,s5_stim,s5_stim
314,s6,3,stim,frontal,0.0611197845412,s6_stim,s6_stim
315,s7,3,stim,frontal,0.0640016003297,s7_stim,s7_stim
316,s8,3,stim,frontal,-0.0470322474365,s8_stim,s8_stim
317,s9,3,stim,frontal,0.00206339929542,s9_stim,s9_stim
318,s10,3,stim,frontal,0.00959870090631,s10_stim,s10_stim
319,s11,3,stim,frontal,-0.0149878467224,s11_stim,s11_stim
320,s12,3,stim,frontal,0.112746171369,s12_stim,s12_stim
321,s13,3,stim,frontal,0.0483176784389,s13_stim,s13_stim
322,s0,4,stim,frontal,0.0705575292618,s0_stim,s0_stim
323,s1,4,stim,frontal,0.202122689315,s1_stim,s1_stim
324,s2,4,stim,frontal,0.128158046374,s2_stim,s2_stim
325,s3,4,stim,frontal,-0.00183480915545,s3_stim,s3_stim
326,s4,4,stim,frontal,0.324264821523,s4_stim,s4_stim
327,s5,4,stim,frontal,0.186011726948,s5_stim,s5_stim
328,s6,4,stim,frontal,0.134851244769,s6_stim,s6_stim
329,s7,4,stim,frontal,0.133497394423,s7_stim,s7_stim
330,s8,4,stim,frontal,-0.0120831656004,s8_stim,s8_stim
331,s9,4,stim,frontal,0.0406362199858,s9_stim,s9_stim
332,s4,1,stim,frontal,-0.0505230209634,s4_stim,s4_stim
333,s12,4,stim,frontal,0.123049682451,s12_stim,s12_stim
334,s9,9,stim,frontal,-0.0965646954787,s9_stim,s9_stim
335,s13,4,stim,frontal,0.147685336045,s13_stim,s13_stim
336,s1,5,stim,frontal,0.31585962119,s1_stim,s1_stim
337,s2,5,stim,frontal,0.149879208805,s2_stim,s2_stim
338,s3,5,stim,frontal,0.147985329126,s3_stim,s3_stim
339,s4,5,stim,frontal,0.455574818936,s4_stim,s4_stim
340,s5,5,stim,frontal,0.236025401676,s5_stim,s5_stim
341,s6,5,stim,frontal,0.21348405273,s6_stim,s6_stim
342,s7,5,stim,frontal,0.1761607068279999,s7_stim,s7_stim
343,s8,5,stim,frontal,0.0428114482292,s8_stim,s8_stim
344,s9,5,stim,frontal,0.0589526395155,s9_stim,s9_stim
345,s10,5,stim,frontal,0.0727310324172,s10_stim,s10_stim
346,s11,5,stim,frontal,0.160734983232,s11_stim,s11_stim
347,s12,5,stim,frontal,0.0910269415202,s12_stim,s12_stim
348,s13,5,stim,frontal,0.211232397262,s13_stim,s13_stim
349,s0,6,stim,frontal,0.0594361419351999,s0_stim,s0_stim
350,s1,6,stim,frontal,0.321334601283,s1_stim,s1_stim
351,s0,5,stim,frontal,0.0853869967994,s0_stim,s0_stim
352,s3,6,stim,frontal,0.282221579706,s3_stim,s3_stim
353,s4,6,stim,frontal,0.410660972614,s4_stim,s4_stim
354,s5,6,stim,frontal,0.196370293043,s5_stim,s5_stim
355,s6,6,stim,frontal,0.246783997558,s6_stim,s6_stim
356,s7,6,stim,frontal,0.171116812089,s7_stim,s7_stim
357,s8,6,stim,frontal,0.0861197747276,s8_stim,s8_stim
358,s9,6,stim,frontal,0.0328062245407,s9_stim,s9_stim
359,s10,6,stim,frontal,0.0922449532541,s10_stim,s10_stim
360,s11,6,stim,frontal,0.176109444388,s11_stim,s11_stim
361,s12,6,stim,frontal,0.0327580046721,s12_stim,s12_stim
362,s13,6,stim,frontal,0.195928278229,s13_stim,s13_stim
363,s0,7,stim,frontal,0.00799326090472,s0_stim,s0_stim
364,s1,7,stim,frontal,0.204943330683,s1_stim,s1_stim
365,s2,0,stim,frontal,-0.0169852108573,s2_stim,s2_stim
366,s3,7,stim,frontal,0.319009013543,s3_stim,s3_stim
367,s4,7,stim,frontal,0.218513616025,s4_stim,s4_stim
368,s5,7,stim,frontal,0.0882249473836,s5_stim,s5_stim
369,s6,7,stim,frontal,0.203884103647,s6_stim,s6_stim
370,s7,7,stim,frontal,0.12677769874,s7_stim,s7_stim
371,s8,7,stim,frontal,0.102758652532,s8_stim,s8_stim
372,s9,7,stim,frontal,-0.0182161587995,s9_stim,s9_stim
373,s10,7,stim,frontal,0.071110215695,s10_stim,s10_stim
374,s11,7,stim,frontal,0.100876282424,s11_stim,s11_stim
375,s12,7,stim,frontal,-0.0155974400049,s12_stim,s12_stim
376,s13,7,stim,frontal,0.114907370649,s13_stim,s13_stim
377,s0,8,stim,frontal,-0.0427929064619,s0_stim,s0_stim
378,s1,8,stim,frontal,0.0366848710068,s1_stim,s1_stim
379,s2,8,stim,frontal,-0.0573023501457,s2_stim,s2_stim
380,s3,8,stim,frontal,0.248302107034,s3_stim,s3_stim
381,s4,8,stim,frontal,0.0109629220321,s4_stim,s4_stim
382,s5,8,stim,frontal,-0.0257432068711,s5_stim,s5_stim
383,s6,8,stim,frontal,0.10875302066,s6_stim,s6_stim
384,s7,8,stim,frontal,0.0665348868349,s7_stim,s7_stim
385,s8,8,stim,frontal,0.0875068441963,s8_stim,s8_stim
386,s9,8,stim,frontal,-0.0670740370935,s9_stim,s9_stim
387,s10,8,stim,frontal,0.0282991931797,s10_stim,s10_stim
388,s11,8,stim,frontal,-0.0173469329493,s11_stim,s11_stim
389,s12,8,stim,frontal,-0.0415716689544,s12_stim,s12_stim
390,s13,8,stim,frontal,0.0135711839707,s13_stim,s13_stim
391,s0,9,stim,frontal,-0.0701018031155,s0_stim,s0_stim
392,s1,9,stim,frontal,-0.0927676486495,s1_stim,s1_stim
393,s2,9,stim,frontal,-0.0861001606332,s2_stim,s2_stim
394,s3,9,stim,frontal,0.127788732332,s3_stim,s3_stim
395,s4,9,stim,frontal,-0.108728887449,s4_stim,s4_stim
396,s5,9,stim,frontal,-0.0973762762409,s5_stim,s5_stim
397,s6,9,stim,frontal,0.00861663702354,s6_stim,s6_stim
398,s7,9,stim,frontal,0.0121323837445,s7_stim,s7_stim
399,s8,9,stim,frontal,0.0468268440164,s8_stim,s8_stim
400,s2,7,stim,frontal,0.0147630317538,s2_stim,s2_stim
401,s10,9,stim,frontal,-0.00273381445136,s10_stim,s10_stim
402,s12,10,stim,frontal,-0.0435940061136,s12_stim,s12_stim
403,s12,9,stim,frontal,-0.047257276732,s12_stim,s12_stim
404,s13,9,stim,frontal,-0.0680502491073,s13_stim,s13_stim
405,s0,10,stim,frontal,-0.0604329894039,s0_stim,s0_stim
406,s1,10,stim,frontal,-0.14330215024,s1_stim,s1_stim
407,s2,10,stim,frontal,-0.0759355234177,s2_stim,s2_stim
408,s3,10,stim,frontal,0.0125251224024,s3_stim,s3_stim
409,s4,10,stim,frontal,-0.132442083726,s4_stim,s4_stim
410,s5,10,stim,frontal,-0.118450927525,s5_stim,s5_stim
411,s6,10,stim,frontal,-0.0759612307381,s6_stim,s6_stim
412,s7,10,stim,frontal,-0.0249420254045,s7_stim,s7_stim
413,s8,10,stim,frontal,-0.00869981640303,s8_stim,s8_stim
414,s9,10,stim,frontal,-0.101177843264,s9_stim,s9_stim
415,s10,10,stim,frontal,-0.0153564272798,s10_stim,s10_stim
416,s11,10,stim,frontal,-0.159771972051,s11_stim,s11_stim
417,s13,10,stim,frontal,-0.110284644256,s13_stim,s13_stim
418,s6,14,stim,frontal,-0.0885113782451,s6_stim,s6_stim
419,s0,11,stim,frontal,-0.0261040613509,s0_stim,s0_stim
420,s1,11,stim,frontal,-0.133646550056,s1_stim,s1_stim
421,s2,11,stim,frontal,-0.049446353537,s2_stim,s2_stim
422,s3,11,stim,frontal,-0.0675200493551,s3_stim,s3_stim
423,s4,11,stim,frontal,-0.107947321225,s4_stim,s4_stim
424,s5,11,stim,frontal,-0.103936816793,s5_stim,s5_stim
425,s6,11,stim,frontal,-0.138152435253,s6_stim,s6_stim
426,s7,11,stim,frontal,-0.0425787763138,s7_stim,s7_stim
427,s8,11,stim,frontal,-0.060692043695,s8_stim,s8_stim
428,s9,11,stim,frontal,-0.0927582331524,s9_stim,s9_stim
429,s10,11,stim,frontal,-0.0201101808428,s10_stim,s10_stim
430,s11,11,stim,frontal,-0.15456374771,s11_stim,s11_stim
431,s12,11,stim,frontal,-0.0353774985791,s12_stim,s12_stim
432,s0,12,stim,frontal,0.00306715009204,s0_stim,s0_stim
433,s13,11,stim,frontal,-0.114215411267,s13_stim,s13_stim
434,s1,12,stim,frontal,-0.093410707637,s1_stim,s1_stim
435,s4,14,stim,frontal,-0.0706921364543,s4_stim,s4_stim
436,s2,12,stim,frontal,-0.0270124417059,s2_stim,s2_stim
437,s9,15,stim,frontal,-0.0480074675662,s9_stim,s9_stim
438,s4,12,stim,frontal,-0.0804438088945,s4_stim,s4_stim
439,s5,12,stim,frontal,-0.0795380517233999,s5_stim,s5_stim
440,s6,12,stim,frontal,-0.155545872019,s6_stim,s6_stim
441,s7,12,stim,frontal,-0.0424750871063,s7_stim,s7_stim
442,s8,12,stim,frontal,-0.0968252969745,s8_stim,s8_stim
443,s9,12,stim,frontal,-0.0836627537109,s9_stim,s9_stim
444,s10,12,stim,frontal,-0.019424671253,s10_stim,s10_stim
445,s11,12,stim,frontal,-0.115368780071,s11_stim,s11_stim
446,s12,12,stim,frontal,-0.0326156562009,s12_stim,s12_stim
447,s13,12,stim,frontal,-0.0900874242966,s13_stim,s13_stim
448,s0,13,stim,frontal,0.00332982586024,s0_stim,s0_stim
449,s1,13,stim,frontal,-0.0527141572176,s1_stim,s1_stim
450,s2,13,stim,frontal,-0.0160922681537999,s2_stim,s2_stim
451,s3,13,stim,frontal,-0.107386192502,s3_stim,s3_stim
452,s4,13,stim,frontal,-0.0712268148965,s4_stim,s4_stim
453,s5,13,stim,frontal,-0.0546139708001,s5_stim,s5_stim
454,s6,13,stim,frontal,-0.132768265808,s6_stim,s6_stim
455,s7,13,stim,frontal,-0.0261645978151,s7_stim,s7_stim
456,s8,13,stim,frontal,-0.109370504289,s8_stim,s8_stim
457,s9,13,stim,frontal,-0.0754838061033,s9_stim,s9_stim
458,s10,13,stim,frontal,-0.0137401688662,s10_stim,s10_stim
459,s11,13,stim,frontal,-0.0652446872829,s11_stim,s11_stim
460,s12,13,stim,frontal,-0.0326627425606,s12_stim,s12_stim
461,s13,13,stim,frontal,-0.055233993508,s13_stim,s13_stim
462,s0,14,stim,frontal,-0.00269970487539,s0_stim,s0_stim
463,s1,14,stim,frontal,-0.0210033263802,s1_stim,s1_stim
464,s2,14,stim,frontal,-0.0104289492969,s2_stim,s2_stim
465,s3,14,stim,frontal,-0.090362563636,s3_stim,s3_stim
466,s5,14,stim,frontal,-0.0376963150522,s5_stim,s5_stim
467,s3,12,stim,frontal,-0.103477352397,s3_stim,s3_stim
468,s7,14,stim,frontal,-0.000925176693984,s7_stim,s7_stim
469,s10,16,stim,frontal,-0.00305701500629,s10_stim,s10_stim
470,s9,14,stim,frontal,-0.061817137103,s9_stim,s9_stim
471,s10,14,stim,frontal,-0.0071620233331,s10_stim,s10_stim
472,s11,14,stim,frontal,-0.0295578107635,s11_stim,s11_stim
473,s12,14,stim,frontal,-0.0397865885476,s12_stim,s12_stim
474,s13,14,stim,frontal,-0.0225059258220999,s13_stim,s13_stim
475,s0,15,stim,frontal,-0.0119660179605,s0_stim,s0_stim
476,s1,15,stim,frontal,-0.00513411267168,s1_stim,s1_stim
477,s2,15,stim,frontal,-0.0138457018672,s2_stim,s2_stim
478,s3,15,stim,frontal,-0.063136252215,s3_stim,s3_stim
479,s4,15,stim,frontal,-0.0709368968741,s4_stim,s4_stim
480,s5,15,stim,frontal,-0.0280269918087,s5_stim,s5_stim
481,s6,15,stim,frontal,-0.040139364069,s6_stim,s6_stim
482,s11,9,stim,frontal,-0.114304263592,s11_stim,s11_stim
483,s8,15,stim,frontal,-0.0848246341162,s8_stim,s8_stim
484,s10,15,stim,frontal,-0.00411803725385,s10_stim,s10_stim
485,s11,15,stim,frontal,-0.0169066262597,s11_stim,s11_stim
486,s12,15,stim,frontal,-0.0496887494108,s12_stim,s12_stim
487,s13,15,stim,frontal,-7.56480581685e-05,s13_stim,s13_stim
488,s0,16,stim,frontal,-0.0213990846195,s0_stim,s0_stim
489,s1,16,stim,frontal,-0.0027187873155,s1_stim,s1_stim
490,s2,16,stim,frontal,-0.0306336275507,s2_stim,s2_stim
491,s3,16,stim,frontal,-0.0340231130191,s3_stim,s3_stim
492,s4,16,stim,frontal,-0.0659392304028999,s4_stim,s4_stim
493,s5,16,stim,frontal,-0.0268117820996,s5_stim,s5_stim
494,s6,16,stim,frontal,-0.00292560331781,s6_stim,s6_stim
495,s7,16,stim,frontal,0.0143006991188,s7_stim,s7_stim
496,s8,16,stim,frontal,-0.0645095884049,s8_stim,s8_stim
497,s9,16,stim,frontal,-0.0367394383882,s9_stim,s9_stim
498,s0,17,stim,frontal,-0.0393222656115,s0_stim,s0_stim
499,s8,14,stim,frontal,-0.102197957935,s8_stim,s8_stim
500,s7,15,stim,frontal,0.015163029763,s7_stim,s7_stim
501,s11,16,stim,frontal,-0.0207952752934,s11_stim,s11_stim
502,s2,18,stim,frontal,-0.0584709784691999,s2_stim,s2_stim
503,s12,16,stim,frontal,-0.0594620218643,s12_stim,s12_stim
504,s2,17,stim,frontal,-0.0490784875502,s2_stim,s2_stim
505,s3,17,stim,frontal,-0.0144004460979,s3_stim,s3_stim
506,s4,17,stim,frontal,-0.0625056570924,s4_stim,s4_stim
507,s5,17,stim,frontal,-0.0299207089612,s5_stim,s5_stim
508,s6,17,stim,frontal,0.0385751908208,s6_stim,s6_stim
509,s7,17,stim,frontal,0.00121181141337,s7_stim,s7_stim
510,s8,17,stim,frontal,-0.0426573904883,s8_stim,s8_stim
511,s9,17,stim,frontal,-0.0300992820085,s9_stim,s9_stim
512,s11,17,stim,frontal,-0.025345201288,s11_stim,s11_stim
513,s12,17,stim,frontal,-0.0601343617828,s12_stim,s12_stim
514,s13,17,stim,frontal,0.0234939806648,s13_stim,s13_stim
515,s0,18,stim,frontal,-0.0484297385322,s0_stim,s0_stim
516,s1,18,stim,frontal,-0.0358524284888,s1_stim,s1_stim
517,s10,17,stim,frontal,-0.00457116262107,s10_stim,s10_stim
518,s3,18,stim,frontal,-0.0109204163368,s3_stim,s3_stim
519,s9,18,stim,frontal,-0.00995933986682,s9_stim,s9_stim
520,s1,17,stim,frontal,-0.0156858610107,s1_stim,s1_stim
522,s13,18,stim,frontal,0.0244253694066,s13_stim,s13_stim
523,s12,18,stim,frontal,-0.0623323445862,s12_stim,s12_stim
524,s11,18,stim,frontal,-0.0307844658374,s11_stim,s11_stim
525,s10,18,stim,frontal,-0.00892838562082,s10_stim,s10_stim
526,s13,16,stim,frontal,0.0140854627305,s13_stim,s13_stim
527,s8,18,stim,frontal,-0.0111144370761,s8_stim,s8_stim
528,s6,18,stim,frontal,0.0464997185079,s6_stim,s6_stim
529,s5,18,stim,frontal,-0.0310125612548,s5_stim,s5_stim
530,s4,18,stim,frontal,-0.0632631135055,s4_stim,s4_stim
531,s7,18,stim,frontal,-0.019634012602,s7_stim,s7_stim
566,s4,14,cue,frontal,-0.0267960223096,s4_cue,s4_cue
579,s5,14,cue,frontal,-0.0172127890483,s5_cue,s5_cue
596,s9,0,cue,frontal,-0.00811691318458,s9_cue,s9_cue
597,s9,6,cue,frontal,0.0268635605066,s9_cue,s9_cue
598,s3,14,cue,frontal,-0.0306139685252,s3_cue,s3_cue
599,s8,3,cue,frontal,-0.00498716907727,s8_cue,s8_cue
600,s4,6,cue,frontal,0.0634867092855,s4_cue,s4_cue
601,s3,6,cue,frontal,0.0739015779525,s3_cue,s3_cue
602,s2,6,cue,frontal,-0.0544052334484,s2_cue,s2_cue
603,s1,6,cue,frontal,0.0588314466764,s1_cue,s1_cue
604,s0,6,cue,frontal,0.050775750646,s0_cue,s0_cue
605,s13,5,cue,frontal,0.0567314714945,s13_cue,s13_cue
606,s12,5,cue,frontal,-0.00680544471978,s12_cue,s12_cue
607,s11,5,cue,frontal,0.0153010353095,s11_cue,s11_cue
608,s10,5,cue,frontal,-0.00896435593861,s10_cue,s10_cue
609,s9,5,cue,frontal,0.047047564862,s9_cue,s9_cue
610,s8,5,cue,frontal,0.0182597693007,s8_cue,s8_cue
611,s7,5,cue,frontal,-0.0179456487935,s7_cue,s7_cue
612,s5,5,cue,frontal,0.0358297688961,s5_cue,s5_cue
613,s0,7,cue,frontal,0.0345972189478,s0_cue,s0_cue
614,s6,3,cue,frontal,0.00890078602149,s6_cue,s6_cue
615,s2,14,cue,frontal,0.0389961768097,s2_cue,s2_cue
616,s8,1,cue,frontal,-0.00470193318958,s8_cue,s8_cue
617,s7,1,cue,frontal,-0.0452318266602,s7_cue,s7_cue
618,s6,1,cue,frontal,0.0140633977838,s6_cue,s6_cue
619,s5,1,cue,frontal,-0.0184928851562,s5_cue,s5_cue
620,s4,1,cue,frontal,-0.0316738519857,s4_cue,s4_cue
621,s3,1,cue,frontal,0.000653061855057,s3_cue,s3_cue
622,s2,1,cue,frontal,-0.0105282937271,s2_cue,s2_cue
623,s1,1,cue,frontal,-0.0455804699351,s1_cue,s1_cue
624,s0,1,cue,frontal,0.0164397984053,s0_cue,s0_cue
625,s13,0,cue,frontal,-0.0125760065596,s13_cue,s13_cue
626,s12,0,cue,frontal,0.00523904905204,s12_cue,s12_cue
627,s11,0,cue,frontal,-0.0500327450639,s11_cue,s11_cue
628,s10,0,cue,frontal,-0.0124119927481,s10_cue,s10_cue
630,s5,6,cue,frontal,0.0125509620527,s5_cue,s5_cue
631,s6,6,cue,frontal,-0.0214595499705,s6_cue,s6_cue
632,s7,6,cue,frontal,-0.00330716756452,s7_cue,s7_cue
633,s8,6,cue,frontal,0.0223742016999,s8_cue,s8_cue
634,s2,5,cue,frontal,-0.0134180232886,s2_cue,s2_cue
635,s1,5,cue,frontal,0.128592379736,s1_cue,s1_cue
636,s0,5,cue,frontal,0.0670863998711999,s0_cue,s0_cue
637,s13,4,cue,frontal,0.0587040696456,s13_cue,s13_cue
638,s12,4,cue,frontal,-0.000457091072418,s12_cue,s12_cue
639,s11,4,cue,frontal,-0.00453321687892,s11_cue,s11_cue
640,s10,4,cue,frontal,-0.0041326642896,s10_cue,s10_cue
641,s9,4,cue,frontal,0.0549092195229,s9_cue,s9_cue
642,s8,4,cue,frontal,0.00784968399311,s8_cue,s8_cue
643,s7,4,cue,frontal,-0.0308180082987,s7_cue,s7_cue
644,s6,4,cue,frontal,0.00240728427488,s6_cue,s6_cue
645,s5,4,cue,frontal,0.0408262184082,s5_cue,s5_cue
646,s4,4,cue,frontal,0.204170630974,s4_cue,s4_cue
647,s3,4,cue,frontal,0.0534429228294,s3_cue,s3_cue
648,s2,4,cue,frontal,0.0132118552959,s2_cue,s2_cue
649,s1,4,cue,frontal,0.112545102272,s1_cue,s1_cue
650,s0,4,cue,frontal,0.0697752064117,s0_cue,s0_cue
651,s13,3,cue,frontal,0.0341351352969,s13_cue,s13_cue
652,s12,3,cue,frontal,-0.00215893498758,s12_cue,s12_cue
653,s11,3,cue,frontal,-0.0368399595269,s11_cue,s11_cue
654,s10,3,cue,frontal,-0.0123926975795,s10_cue,s10_cue
655,s3,5,cue,frontal,0.0804468579247,s3_cue,s3_cue
656,s9,3,cue,frontal,0.0485983896956,s9_cue,s9_cue
657,s4,5,cue,frontal,0.188521242471,s4_cue,s4_cue
658,s6,5,cue,frontal,-0.0077261058899099,s6_cue,s6_cue
659,s13,6,cue,frontal,0.0224204348758,s13_cue,s13_cue
660,s12,6,cue,frontal,-0.00885467067635,s12_cue,s12_cue
661,s11,6,cue,frontal,0.00573408069619,s11_cue,s11_cue
662,s10,6,cue,frontal,-0.0274808039741,s10_cue,s10_cue
664,s9,14,cue,frontal,0.0105354926644,s9_cue,s9_cue
666,s12,17,cue,frontal,0.00367093318644,s12_cue,s12_cue
680,s13,17,cue,frontal,-0.00419011651606,s13_cue,s13_cue
681,s11,17,cue,frontal,0.0737572737005,s11_cue,s11_cue
683,s10,17,cue,frontal,0.0052437574042299,s10_cue,s10_cue
684,s12,15,cue,frontal,-0.00448951009453,s12_cue,s12_cue
685,s11,15,cue,frontal,0.0471023070477,s11_cue,s11_cue
686,s10,15,cue,frontal,0.0112412835158,s10_cue,s10_cue
687,s9,15,cue,frontal,0.00217020842832,s9_cue,s9_cue
688,s8,15,cue,frontal,0.0253832097515,s8_cue,s8_cue
689,s7,15,cue,frontal,-0.027466991959,s7_cue,s7_cue
690,s6,15,cue,frontal,0.0100518294106,s6_cue,s6_cue
691,s5,15,cue,frontal,-0.0195068625872,s5_cue,s5_cue
692,s4,15,cue,frontal,-0.032512333508,s4_cue,s4_cue
693,s3,15,cue,frontal,-0.0223767538583,s3_cue,s3_cue
694,s2,15,cue,frontal,0.0247336480706,s2_cue,s2_cue
695,s1,15,cue,frontal,0.0125941591083,s1_cue,s1_cue
696,s0,15,cue,frontal,-0.019636632338,s0_cue,s0_cue
701,s7,0,cue,frontal,-0.0430214968651,s7_cue,s7_cue
707,s1,0,cue,frontal,-0.040937102696,s1_cue,s1_cue
708,s13,18,cue,frontal,-0.012163495715,s13_cue,s13_cue
709,s12,18,cue,frontal,0.00438372064071,s12_cue,s12_cue
710,s11,18,cue,frontal,0.0905198558908,s11_cue,s11_cue
712,s10,18,cue,frontal,-0.00325075890227,s10_cue,s10_cue
713,s8,18,cue,frontal,0.0143582465172999,s8_cue,s8_cue
714,s7,18,cue,frontal,-0.0374389826447,s7_cue,s7_cue
715,s6,18,cue,frontal,0.0122480941706,s6_cue,s6_cue
716,s5,18,cue,frontal,0.0225013307677,s5_cue,s5_cue
717,s4,18,cue,frontal,-0.0455602885364,s4_cue,s4_cue
718,s3,18,cue,frontal,-0.0234015787962,s3_cue,s3_cue
719,s2,18,cue,frontal,0.0153433794654,s2_cue,s2_cue
720,s1,18,cue,frontal,-0.00153369260139,s1_cue,s1_cue
721,s0,18,cue,frontal,-0.00349674253765,s0_cue,s0_cue
722,s9,18,cue,frontal,-0.0006433163982769,s9_cue,s9_cue
730,s13,14,cue,frontal,-0.00570123521875,s13_cue,s13_cue
731,s12,14,cue,frontal,-0.00331795337401,s12_cue,s12_cue
732,s11,14,cue,frontal,0.0501327381579,s11_cue,s11_cue
765,s10,14,cue,frontal,0.0071673404014099,s10_cue,s10_cue
767,s8,14,cue,frontal,0.0217941110174,s8_cue,s8_cue
768,s7,14,cue,frontal,-0.0198314565368,s7_cue,s7_cue
769,s6,14,cue,frontal,-0.0208147703811,s6_cue,s6_cue
770,s13,15,cue,frontal,-0.00305348061239,s13_cue,s13_cue
772,s0,16,cue,frontal,-0.0171919266504,s0_cue,s0_cue
773,s2,16,cue,frontal,0.0145098643656,s2_cue,s2_cue
774,s9,17,cue,frontal,-0.0049004083947,s9_cue,s9_cue
775,s8,17,cue,frontal,0.013762123577,s8_cue,s8_cue
776,s7,17,cue,frontal,-0.0444741031444,s7_cue,s7_cue
777,s6,17,cue,frontal,0.0204153378087,s6_cue,s6_cue
778,s5,17,cue,frontal,0.00588373422725,s5_cue,s5_cue
779,s4,17,cue,frontal,-0.0447856273504,s4_cue,s4_cue
780,s3,17,cue,frontal,-0.0141380828752,s3_cue,s3_cue
781,s2,17,cue,frontal,0.0103194050434,s2_cue,s2_cue
782,s1,17,cue,frontal,-0.000438738748975,s1_cue,s1_cue
783,s0,17,cue,frontal,-0.0103752152963,s0_cue,s0_cue
784,s13,16,cue,frontal,-0.0025219123314,s13_cue,s13_cue
785,s12,16,cue,frontal,-0.00172336864926,s12_cue,s12_cue
786,s11,16,cue,frontal,0.0571053957891999,s11_cue,s11_cue
787,s10,16,cue,frontal,0.0101631929178,s10_cue,s10_cue
788,s9,16,cue,frontal,-0.00428986666204,s9_cue,s9_cue
789,s8,16,cue,frontal,0.0163316275274,s8_cue,s8_cue
790,s7,16,cue,frontal,-0.0396866842019,s7_cue,s7_cue
791,s6,16,cue,frontal,0.0315065090034,s6_cue,s6_cue
792,s5,16,cue,frontal,-0.0100683021535,s5_cue,s5_cue
793,s4,16,cue,frontal,-0.0408622819528,s4_cue,s4_cue
794,s3,16,cue,frontal,-0.0168074650838,s3_cue,s3_cue
795,s1,16,cue,frontal,0.00457908374535,s1_cue,s1_cue
796,s8,0,cue,frontal,0.0104169799858,s8_cue,s8_cue
798,s6,0,cue,frontal,0.0186525383098,s6_cue,s6_cue
865,s5,0,cue,frontal,-0.0270327130304,s5_cue,s5_cue
932,s0,0,cue,frontal,0.00776611182029,s0_cue,s0_cue
933,s3,11,cue,frontal,-0.088991179696,s3_cue,s3_cue
